"RUN_NUM","COMP_CD","POL_NUM","AGT_CD","AGT_RANK_CD","BNS_RATE","BNS_BASE","BNS_AMT","WRTN_AGT","RPT_LVL","PREV_YTD_BNS","CURR_YTD_BNS","PARM1_VAL","PARM2_VAL","PARM3_VAL","PARM4_VAL","PARM5_VAL","TRANS_AC_IND","BNS_MTH","GOR_GEN_LVL"
"202004","GAGFYC","4259528521","G00212","BD","15","1187940","178191","G00279","5","","","15","1187940","5","0","","","202004","3"
"202004","GAGFYC","4259528521","G00202","BD","10","1187940","118794","G00212","6","","","10","1187940","5","0","","","202004","4"
"202004","GABFYC","4259533521","G00423","BSM","50","53688","21475.2","G00423","1","","","50","53688","","","","","202004",""
"202004","GABFYC","4259533521","G00308","BD","50","53688","21475.2","G00423","2","","","50","53688","","","","","202004",""
"202004","GAGFYC","4259533521","G00132","BD","25","53688","13422","G00308","3","","","25","53688","15","0","","","202004","1"
"202004","GAGFYC","4259533521","G00077","BD","20","53688","10737.6","G00132","4","","","20","53688","10","0","","","202004","2"
"202004","GABFYC","4259533539","G00423","BSM","50","53124","21249.6","G00423","1","","","50","53124","","","","","202004",""
"202004","GABFYC","4259533539","G00308","BD","50","53124","21249.6","G00423","2","","","50","53124","","","","","202004",""
"202004","GAGFYC","4259533539","G00132","BD","25","53124","13281","G00308","3","","","25","53124","15","0","","","202004","1"
"202004","GAGFYC","4259533539","G00077","BD","20","53124","10624.8","G00132","4","","","20","53124","10","0","","","202004","2"
"202004","GABFYC","4258365016","G00083","BD","100","126060","126060","G00112","2","","","100","126060","","","","","202004",""
"202004","GAGFYC","4258365016","G00055","BD","25","126060","31515","G00083","3","","","25","126060","15","0","","","202004","1"
"202004","GAGFYC","4258365016","G00054","BD","20","126060","25212","G00055","4","","","20","126060","10","0","","","202004","2"
"202004","GABFYC","4258365024","G00083","BD","100","417000","417000","G00089","2","","","100","417000","","","","","202004",""
"202004","GAGFYC","4258365024","G00055","BD","25","417000","104250","G00083","3","","","25","417000","15","0","","","202004","1"
"202004","GAGFYC","4258365024","G00054","BD","20","417000","83400","G00055","4","","","20","417000","10","0","","","202004","2"
